number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
1,,10004,36157.44,NEW YORK,1 STATE STREET,08/28/2013,BVQs for MNR,,1000029818,NY,9520,Consulting Services,,0,9520,36157.44,OPEN,10/25/2013,08/27/2016,,,,1163842.56,Authority Contract - Competitive Bid,,,USA,No,1200000,Yes,NYS,STERLING INFOSYSTEMS,No
5,,10004,0,NEW YORK,1 STATE STREET,08/28/2013,Background VerificationInvestigation Services,,130911GS5-P-Y,NY,9521,Other,08/28/2016,1,9521,0,OPEN,09/11/2013,08/27/2016,,,No,1081147.5,Authority Contract - Competitive Bid,,,USA,No,1081147.5,Yes,NYS,STERLING INFOSYSTEMS,Yes
5,,10004,0,NEW YORK,1 STATE STREET,08/28/2013,All-Agency Background Verification and Investigation Services,,PSC-11-2893,NY,9522,Consulting Services,,1,9522,0,OPEN,08/28/2013,08/27/2016,,,No,544324,Authority Contract - Competitive Bid,,,USA,No,544324,Yes,NYS,STERLING INFOSYSTEMS,Yes
5,,10004,0,NEW YORK,1 STATE STREET,08/28/2013,6.00E+23 NYC Transit Background Investigations,,,NY,9523,Other,,0,9523,0,OPEN,08/28/2013,08/27/2016,,,No,246481.25,Authority Contract - Competitive Bid,,,USA,No,246481.25,Yes,NYS,STERLING INFOSYSTEMS,No
3,,10004,7102.88,NEW YORK,1 STATE STREET,08/28/2013,HR Back Ground Check,,13205-0100,NY,9524,Other Professional Services,,1,9524,7102.88,OPEN,08/28/2013,08/27/2016,,,No,41407.12,Authority Contract - Competitive Bid,,,USA,Yes,48510,Yes,NYS,STERLING INFOSYSTEMS,Yes
3,,10004,0,NEW YORK,1 STATE STREET,08/28/2013,HR Back Ground Check,,13206-0100,NY,9525,Other Professional Services,,1,9525,0,OPEN,08/28/2013,08/27/2016,,,No,35860,Authority Contract - Competitive Bid,,,USA,Yes,35860,Yes,NYS,STERLING INFOSYSTEMS,Yes
1,,10004,152,NEW YORK,1 STATE STREET,09/11/2013,Background investigation services for MTACC HR for 10/1/13 to 9/30/16-All- Agency Contract-PSC11-289,,8000000438,NY,9526,Other Professional Services,,0,9526,152,OPEN,09/11/2013,,,,,16848,Authority Contract - Competitive Bid,,,USA,No,17000,No,NYS,STERLING INFOSYSTEMS,No
2,,21666,18882.3,STEVENSVILLE,200 LOG CANOE CIRCLE,08/23/2012,6.00E+23 REPAIR STERTIL KONI BUS LIFTS- BOTH PORTABLE WHEEL-TYPEPARALLELOGRAM OMER,,,MD,9527,Design and Construction/Maintenance,,0,9527,26363.81,OPEN,07/30/2012,08/22/2016,,,No,298204.94,Authority Contract - Competitive Bid,,,USA,No,324568.75,Yes,Foreign,STERTIL-KONI USA INC.,No
2,,21666,2104.28,STEVENSVILLE,200 LOG CANOE CIRCLE,07/30/2013,Repair/Maintenance Vehicle Lift/Crane Equipment,,12-MNT-2907X,MD,9528,Design and Construction/Maintenance,,0,9528,2104.28,OPEN,07/26/2013,07/30/2018,,,No,84634.72,Authority Contract - Competitive Bid,,,USA,No,86739,Yes,Foreign,STERTIL-KONI USA INC.,No
,,10001,19605,NEW YORK,237 W 35TH STREET,01/02/2008,OUTSIDE COUNSEL,SUITE 1502,,NY,9529,Legal Services,,0,9529,1981700,OPEN,01/02/2008,,,,,0,Authority Contract - Non-Competitive Bid,,,USA,No,19605,No,,STEVE S. EFRON,No
,,07030,19181,HOBOKEN,112 MADISON STREET,01/02/2008,OUTSIDE COUNSEL,SUITE 1,,NJ,9530,Legal Services,,0,9530,484876,OPEN,01/02/2008,,,,,0,Authority Contract - Non-Competitive Bid,,,USA,No,19181,No,,STEVEN JAY FEINSTEIN,No
,,07030,0,HOBOKEN,1 CASTLE POINT ON HUDSON,02/09/2012,6.00E+23 Technical assistance for asset management policy development,,,NJ,9531,Consulting Services,,1,9531,19193.27,OPEN,02/09/2012,,,19965,Yes,771.73,Authority Contract - Non-Competitive Bid,,Cntrct Below dollar Threshold,USA,No,19965,No,Foreign,STEVENS INSTITUTE OF TECHNOLOGY,Yes
,,07644,0,LODI,P.O. BOX 950,,HOSE ASSEMBLY 6 X 35.50 SECONDARY FILTER TO ENGINE,,2000080678,NJ,9532,Commodities/Supplies,,,9532,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,STEWARTSTEVENSON POWER,
,,07644,0,LODI,P.O. BOX 950,,DETROIT DDDL,,2000070904,NJ,9533,Commodities/Supplies,,,9533,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,STEWARTSTEVENSON POWER,
,,07644,51842,LODI,P.O. BOX 950,,various small purchases,,various,NJ,9534,Commodities/Supplies,,,9534,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,STEWARTSTEVENSON POWER,
,,07644,826633.04,LODI,PO BOX 950,08/12/2013,PURCHASE OF ENGINE PARTS MANUFACTURED BY DETROIT DIESEL CORPORATION,,C600SS00903289,NJ,9535,Commodities/Supplies,,0,9535,826633.04,OPEN,07/09/2009,07/09/2014,,,No,24173366.96,Authority Contract - Competitive Bid,,,USA,No,25000000,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
,,07644,920237.35,LODI,PO BOX 950,08/12/2013,PURCHASE OF TRANSMISSION PARTS MANUFACTURED BYALLISON CORPORATION,,C600SS00903301,NJ,9536,Commodities/Supplies,,0,9536,920237.35,OPEN,07/09/2009,07/09/2014,,,No,19079762.65,Authority Contract - Competitive Bid,,,USA,No,20000000,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,35674.02,LODI,PRODUCTS LLC,07/25/2009,PURCHASE ADDA DETROIT PARTS,P.O. BOX 950,SPC2J090321,NJ,9537,Commodities/Supplies,,0,9537,35674.02,OPEN,07/25/2009,07/09/2014,,,No,11964325.98,Authority Contract - Competitive Bid,,,USA,No,12000000,Yes,Foreign,STEWARTSTEVENSON POWER,No
2,,07644,60760.71,LODI,PRODUCTS LLC,07/24/2009,Transmission parts ALLISON,P.O. BOX 950,SPC2J090325,NJ,9538,Commodities/Supplies,,0,9538,60760.71,OPEN,07/24/2009,07/09/2014,,,No,5939239.29,Authority Contract - Competitive Bid,,,USA,No,6000000,Yes,Foreign,STEWARTSTEVENSON POWER,No
2,,07644,122740.39,LODI,PRODUCTS LLC,09/24/2012,Rebuilt engine parts,P.O. BOX 950,SPJ121225,NJ,9539,Commodities/Supplies,,1,9539,122740.39,OPEN,09/24/2012,09/23/2017,,,No,2495181.37,Authority Contract - Competitive Bid,,,USA,No,2617921.76,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,217680,LODI,PO BOX 950,08/19/2013,6.00E+23 FILTER CCRT DIESEL PARTICULATE NEW FLYER ARTIC 2003 DDC SERIES 50 EGR 2.5 GRAM/BHP BUS NUMBERS 5510-5769 AND 5407 NUMBER ENGRAVED ON THE FILTER,,,NJ,9540,Commodities/Supplies,,0,9540,217680,OPEN,08/19/2013,11/18/2014,,,No,507920,Authority Contract - Competitive Bid,,,USA,No,725600,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,313097.4,LODI,PO BOX 950,08/09/2013,SYNTHETIC HEAVY DUTY TRANSMISSION FLUID. IN BULK. MUST BE ON CURRENT APPROVED OILS LIST OF ALLISON TES-295. MUST BE APPROVED FOR USE ON BAE TRACTIO,,0600000000000000000SS4891,NJ,9541,Commodities/Supplies,,0,9541,313097.4,OPEN,03/28/2013,03/27/2014,,,No,397042.8,Authority Contract - Competitive Bid,,,USA,No,710140.2,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
3,,07644,936,LODI,PRODUCTS LLC,10/25/2013,Emergency Generators Repair,P.O. BOX 950,12-MNT-2895A,NJ,9542,Design and Construction/Maintenance,,0,9542,936,OPEN,06/11/2013,06/30/2018,,,No,517324,Authority Contract - Competitive Bid,,,USA,No,518260,Yes,Foreign,STEWARTSTEVENSON POWER,No
1,,07644,0,LODI,PRODUCTS LLC,02/08/2014,ENGINE MAIN 2250 HP 12 CYLINDER MAKE 12V-S4000R33 MODELT1238AR2 1800 RPM EPA TIER2 COMPLIANT,PO BOX 950,1000032443,NJ,9543,Commodities/Supplies,,0,9543,0,OPEN,12/03/2013,02/08/2014,,395000,,395000,Authority Contract - Non-Competitive Bid,,,USA,No,395000,Yes,Foreign,STEWARTSTEVENSON POWER,No
1,,07644,16200,LODI,PRODUCTS LLC,09/12/2013,1.00E+23 BL20 FUEL INJECTORS PA RR-04-13,PO BOX 950,,NJ,9544,Commodities/Supplies,,4,9544,16200,OPEN,09/10/2013,09/11/2015,,,,372600,Authority Contract - Competitive Bid,,,USA,No,388800,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,0,LODI,PO BOX 950,08/20/2013,6.00E+23 FILTER MODULE   KIT EXHAUST CRT FOR SERIES 50 EGR   DIESEL ENGINE USED ON 1996 AND 1999   ORIONVMODEL BUSES SINGLE WRAPPED TO BE   USED WITH SINGLE WRAPPED,,,NJ,9545,Commodities/Supplies,,0,9545,0,OPEN,08/20/2013,11/19/2015,,,No,322000,Authority Contract - Competitive Bid,,,USA,No,322000,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,111226.5,LODI,PRODUCTS LLC,04/11/2013,69-12-0550 -SYNTHETIC HEAVY DUTY TRANSMISSION FLUID. IN BULK. MUST BE ON CURRENT APPROVED OILS LIS,P.O. BOX 950,SPJ131549,NJ,9546,Commodities/Supplies,,0,9546,111226.5,OPEN,04/11/2013,04/10/2014,,,No,180434.1,Authority Contract - Competitive Bid,,,USA,No,291660.6,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
5,,07644,0,LODI,PO BOX 950,08/09/2013,FILTER WATER POWERCOOL SUPPLEMENTAL COOLANT ADDITIVE NEED-RELEASE FOR 8-20 GALLON COOLING SYSTEMS.,,0600000000000000000SS1306,NJ,9547,Commodities/Supplies,,0,9547,0,OPEN,10/03/2011,11/01/2013,,,No,280086.75,Authority Contract - Competitive Bid,,,USA,No,280086.75,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,6198,LODI,PO BOX 950,08/09/2013,CATALYST MODULE EXHAUST CRT FOR 96 AND 99 ORION BUSES SINGLE WRAPPED. TO BE USED WITH A SINGLE WRAPPED FILTER FOR CRT MODEL NUMBERS 2001 AND 2024,,0600000000000000000SS5266,NJ,9548,Commodities/Supplies,,0,9548,6198,OPEN,05/16/2013,08/14/2015,,,No,241722,Authority Contract - Competitive Bid,,,USA,No,247920,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,18294,LODI,PO BOX 950,09/03/2013,6.00E+23 FILTER MODULE KIT EXHAUST CRT 3053. SPECIAL NOTE EACH FILTER SHALL HAVE A UNIQUE SERIAL NUMBER ENGRAVED ON THE FILTER,,,NJ,9549,Commodities/Supplies,,0,9549,18294,OPEN,09/03/2013,09/06/2013,,,No,210381,Authority Contract - Competitive Bid,,,USA,No,228675,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,0,LODI,PO BOX 950,10/17/2013,6.00E+23 HARNESS AND SOLENOID ASSEMBLY REPLACEMENT FOR V-731 ATEC CONSISTING OF 4 EACH SOLENOID LATCHING C F J 82- 55-0043 ALLISON P/N 23019308 3 EACH SOL,,,NJ,9550,Commodities/Supplies,,0,9550,0,OPEN,10/17/2013,01/16/2016,,,No,221160,Authority Contract - Competitive Bid,,,USA,No,221160,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,0,LODI,PO BOX 950,12/18/2013,6.00E+23 FILTER MODULE DIESEL EXHAUST CRT SYSTEM FOR 2000 20012002 MCI BUSES RETROFITTED WITH JOHNSON MATTHEY CRT DIESEL PARTICULATED FILTER,,,NJ,9551,Commodities/Supplies,,0,9551,0,OPEN,12/18/2013,03/17/2015,,,No,209940,Authority Contract - Competitive Bid,,,USA,No,209940,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,0,LODI,PO BOX 950,08/09/2013,CATALYST DIESEL EXHAUST CRT SYSTEM FOR 1997 1998 2000 NEW FLYER BUSES RETROFITTED WITH JOHNSON MATTHEY CRT 3053 DIESEL PARTICULATE FILTER,,0600000000000000000SS5268,NJ,9552,Commodities/Supplies,,0,9552,0,OPEN,05/16/2013,08/14/2015,,,No,199500,Authority Contract - Competitive Bid,,,USA,No,199500,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,96503,LODI,PO BOX 950,08/09/2013,SYNTHETIC HEAVY DUTY TRANSMISSION FLUID IN 55 GALLON DRUMS MUST BE ON CURRENT APPROVED OILS LIST OF ALLISON TES-295. MUST BE APPROVED FOR USE ON BA,,0600000000000000000SS4892,NJ,9553,Commodities/Supplies,,0,9553,96503,OPEN,03/28/2013,03/27/2014,,,No,102729,Authority Contract - Competitive Bid,,,USA,No,199232,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,23875,LODI,PO BOX 950,08/19/2013,6.00E+23 VALVE ASSEMBLY EGR CONTROL EXH TO FRT,,,NJ,9554,Commodities/Supplies,,0,9554,23875,OPEN,08/19/2013,11/18/2014,,,No,167125,Authority Contract - Competitive Bid,,,USA,No,191000,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
4,,07644,38258,LODI,PO BOX 950,08/09/2013,HARNESS AND SOLENOID ASSEMBLY REPLACEMENT FOR V-731 ATEC CONSISTING OF 4 EACH SOLENOID LATCHING C F J 82- 55-0043 ALLISON P/N 23019308 3 EACH SOL,,0600000000000000000SS1461,NJ,9555,Commodities/Supplies,,0,9555,38258,OPEN,10/26/2011,01/25/2014,,,No,111296,Authority Contract - Competitive Bid,,,USA,No,149554,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,148446,LODI,PO BOX 950,08/09/2013,FILTER MODULE   KIT EXHAUST CRT FOR SERIES 50 EGR   DIESEL ENGINE USED ON 1996 AND 1999   ORIONVMODEL BUSES SINGLE WRAPPED TO BE   USED WITH SINGLE WRAPPED,,0600000000000000000SS0800,NJ,9556,Commodities/Supplies,,0,9556,148446,OPEN,07/07/2011,10/04/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,148446,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,122060,LODI,PO BOX 950,08/09/2013,KIT REBUILD AIR CONDITIONING 05D COMPRESSOR,,0600000000000000000SS4438,NJ,9557,Commodities/Supplies,,2,9557,122060,OPEN,01/29/2013,04/28/2014,,,No,19386,Authority Contract - Competitive Bid,,,USA,No,141446,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
4,,07644,12716,LODI,PO BOX 950,08/09/2013,VALVE ASSEMBLY RELAY R-12 5.5 PSI,,0600000000000000000SS2240,NJ,9558,Commodities/Supplies,,0,9558,12716,OPEN,03/01/2012,05/31/2014,,,No,116538.4,Authority Contract - Competitive Bid,,,USA,No,129254.4,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
7,,07644,18706,LODI,PO BOX 950,08/09/2013,FILTER ENGINE OIL,,0600000000000000000SS1515,NJ,9559,Commodities/Supplies,,0,9559,18706,OPEN,11/02/2011,02/01/2014,,,No,108194,Authority Contract - Competitive Bid,,,USA,No,126900,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
11,,07644,20070,LODI,PO BOX 950,08/09/2013,STARTER MOTOR ASSEMBLY FOR CUMMINS ISB 260 HYBRID ENGINE,,0600000000000000000SS2876,NJ,9560,Commodities/Supplies,,1,9560,20070,OPEN,05/15/2012,08/14/2014,,,No,85855,Authority Contract - Competitive Bid,,,USA,No,105925,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
3,,07644,45375,LODI,PO BOX 950,08/09/2013,UNIT PRO-LINK GRAPHIQ DDECIIIIV STARTER KIT CONSISTING OF 1 EA. PRO- LINK READER P\N 88-55-7480 1 EA. MULTI-PROTOCOL CARTRIDGE P/N 88-55-8001,,0600000000000000000SS4219,NJ,9561,Commodities/Supplies,,1,9561,45375,OPEN,12/24/2012,03/23/2014,,,No,60500,Authority Contract - Competitive Bid,,,USA,No,105875,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,98970,LODI,PO BOX 950,08/09/2013,FILTER MODULE DIESEL EXHAUST CRT SYSTEM FOR 2000 20012002 MCI BUSES RETROFITTED WITH JOHNSON MATTHEY CRT DIESEL PARTICULATED FILTER,,0600000000000000000SS4155,NJ,9562,Commodities/Supplies,,0,9562,98970,OPEN,12/18/2012,03/17/2014,,,No,0,Authority Contract - Competitive Bid,,,USA,No,98970,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,3099,LODI,PRODUCTS LLC,09/23/2013,78-13-0028 CATALYST MODULE EX,P.O. BOX 950,SPJ131601B,NJ,9563,Commodities/Supplies,,0,9563,3099,OPEN,06/14/2013,09/13/2015,,,No,74376,Authority Contract - Competitive Bid,,,USA,No,77475,Yes,Foreign,STEWARTSTEVENSON POWER,No
8,,07644,0,LODI,PO BOX 950,12/16/2013,6.00E+23 DIAPHRAGM KIT WATER SOLENOID FOR VALVE 79-61-0088,,,NJ,9564,Commodities/Supplies,,0,9564,0,OPEN,12/16/2013,03/15/2015,,,No,74396,Authority Contract - Competitive Bid,,,USA,No,74396,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
9,,07644,33036.25,LODI,PO BOX 950,08/09/2013,FILTER FUEL PRIMARY,,0600000000000000000SS2324,NJ,9565,Commodities/Supplies,,0,9565,33036.25,OPEN,03/09/2012,06/06/2014,,,No,41270.97,Authority Contract - Competitive Bid,,,USA,No,74307.22,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
7,,07644,20466,LODI,PO BOX 950,08/09/2013,BLOWER BOOSTER ASSEMBLY 24 VOLT,,0600000000000000000SS4699,NJ,9566,Commodities/Supplies,,0,9566,20466,OPEN,03/04/2013,06/03/2015,,,No,53818,Authority Contract - Competitive Bid,,,USA,No,74284,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
6,,07644,22200,LODI,PO BOX 950,08/09/2013,GASKET CCRT DIESEL PARTICULATE FILTER NEW FLYER ARTIC 2003 DDC SERIES 50 EGR 2.5 GRAM/ .BHP BUS NUMBERS 5510-5769 AND 5407. APPLICATION NOTE 3 GASKETS PE,,0600000000000000000SS2753,NJ,9567,Commodities/Supplies,,0,9567,22200,OPEN,04/26/2012,07/25/2014,,,No,50172,Authority Contract - Competitive Bid,,,USA,No,72372,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
3,,07644,0,LODI,PO BOX 950,08/27/2013,6.00E+23 VALVE ASSEMBLY PMW EGR SERIES 50,,,NJ,9568,Commodities/Supplies,,0,9568,0,OPEN,08/27/2013,11/26/2014,,,No,69250,Authority Contract - Competitive Bid,,,USA,No,69250,Yes,Foreign,STEWARTSTEVENSON POWER,No
5,,07644,0,LODI,PRODUCTS LLC,08/02/2011,79-55-2007 FILTER WATER POWE,P.O. BOX 950,SPJPRB110870,NJ,9569,Commodities/Supplies,,0,9569,0,OPEN,07/28/2011,10/27/2013,,,No,66660.35,Authority Contract - Competitive Bid,,,USA,No,66660.35,Yes,Foreign,STEWARTSTEVENSON POWER,No
2,,07644,0,LODI,PO BOX 950,08/09/2013,CATALYST DIESEL EXHAUST CRT SYSTEM FOR 1997 1998 2000 NEW FLYER BUSES RETROFITTED WITH JOHNSON MATTHEY CRT 3053 DIESEL PARTICULATE FILTER,,0600000000000000000SS0605,NJ,9570,Commodities/Supplies,,0,9570,0,OPEN,06/08/2011,09/06/2013,,,No,66528,Authority Contract - Competitive Bid,,,USA,No,66528,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
6,,07644,5100,LODI,PRODUCTS LLC,05/03/2012,83-65-0025COIL HEATING MAI,P.O. BOX 950,SPPRB121213,NJ,9571,Commodities/Supplies,,0,9571,5100,OPEN,04/03/2012,07/02/2014,,,No,59160,Authority Contract - Competitive Bid,,,USA,No,64260,Yes,Foreign,STEWARTSTEVENSON POWER,No
3,,07644,0,LODI,PO BOX 950,11/08/2013,6.00E+23 PLATE SECOND CLUTCH INTERNAL SPLINED FOR 730 TRANSMISSION.,,,NJ,9572,Commodities/Supplies,,0,9572,0,OPEN,11/08/2013,01/07/2015,,,No,64000,Authority Contract - Competitive Bid,,,USA,No,64000,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
3,,07644,58795,LODI,PRODUCTS LLC,07/31/2013,EMERGENCY GENERATOR SET MOBILE UNIT 150KW -,PO BOX 950,1000028389,NJ,9573,Commodities/Supplies,,1,9573,58795,OPEN,08/05/2013,10/11/2013,,,,0,Authority Contract - Competitive Bid,,,USA,No,58795,Yes,NYS,STEWARTSTEVENSON POWER,Yes
3,,07644,14500,LODI,PO BOX 950,08/27/2013,6.00E+23 CAMSHAFT MK CNG SERIES 50 ENGINE,,,NJ,9574,Commodities/Supplies,,0,9574,14500,OPEN,08/27/2013,11/26/2014,,,No,43500,Authority Contract - Competitive Bid,,,USA,No,58000,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
7,,07644,21735,LODI,PO BOX 950,08/09/2013,FILTER FUEL ELEMENT,,0600000000000000000SS2735,NJ,9575,Commodities/Supplies,,1,9575,21735,OPEN,04/25/2012,07/24/2014,,,No,31878,Authority Contract - Competitive Bid,,,USA,No,53613,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
7,,07644,11278.4,LODI,PRODUCTS LLC,01/10/2012,87-25-0005 filter fuel,P.O. BOX 950,SPJ121279,NJ,9576,Commodities/Supplies,,0,9576,11278.4,OPEN,10/10/2012,01/09/2015,,,No,41526.4,Authority Contract - Competitive Bid,,,USA,No,52804.8,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
7,,07644,5675,LODI,PO BOX 950,08/09/2013,MOTOR EVAPORATOR FAN ROTRON CARRIER A/C,,0600000000000000000SS3152,NJ,9577,Commodities/Supplies,,0,9577,5675,OPEN,07/03/2012,10/02/2013,,,No,46535,Authority Contract - Competitive Bid,,,USA,No,52210,Yes,NYS,STEWARTSTEVENSON POWER,Yes
7,,07644,5085,LODI,PO BOX 950,08/09/2013,FILTER ENGINE OIL,,0600000000000000000SS3575,NJ,9578,Commodities/Supplies,,0,9578,5085,OPEN,10/27/2012,10/26/2014,,,No,45765,Authority Contract - Competitive Bid,,,USA,No,50850,Yes,NYS,STEWARTSTEVENSON POWER,Yes
10,,07644,5239,LODI,PO BOX 950,08/09/2013,VALVE RELAY R-14 REAR BRAKE 5.5 LB CRACK PSI 2 PER 1993 TMC ONE PER 1993 ORION FORWARD REAR R-14 POSITION,,0600000000000000000SS3148,NJ,9579,Commodities/Supplies,,0,9579,5239,OPEN,07/02/2012,10/01/2014,,,No,42697.85,Authority Contract - Competitive Bid,,,USA,No,47936.85,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,45820,LODI,PO BOX 950,08/29/2013,6.00E+23 Johnson Matthey L-CCRT Passive System Drawing No 502151-0 For Vac-Engine,,,NJ,9580,Commodities/Supplies,,0,9580,45820,OPEN,08/29/2013,01/07/2014,,,No,0,Authority Contract - Competitive Bid,,,USA,No,45820,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,45820,LODI,PO BOX 950,08/29/2013,6.00E+23 Johnson Matthey L-CCRT Drawing No 502150-0 for Drive Engine,,,NJ,9581,Commodities/Supplies,,0,9581,45820,OPEN,08/29/2013,01/07/2014,,,No,0,Authority Contract - Competitive Bid,,,USA,No,45820,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
14,,07644,8740,LODI,PO BOX 950,08/09/2013,FILTER FUEL,,0600000000000000000SS3699,NJ,9582,Commodities/Supplies,,0,9582,8740,OPEN,09/27/2012,12/26/2014,,,No,35720,Authority Contract - Competitive Bid,,,USA,No,44460,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
4,,07644,43125,LODI,PO BOX 950,08/09/2013,CRANKSHAFT ASSEMBLY CARRIER A/C 05D COMPRESSOR R42 CARS,,0600000000000000000SS0594,NJ,9583,Commodities/Supplies,,0,9583,43125,OPEN,06/06/2011,09/06/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,43125,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,6226,LODI,PRODUCTS LLC,04/11/2013,69-12-0555 SYNTHETIC HEAVY DU,P.O. BOX 950,SPJ131535,NJ,9584,Commodities/Supplies,,0,9584,6226,OPEN,04/11/2013,04/10/2014,,,No,35799.5,Authority Contract - Competitive Bid,,,USA,No,42025.5,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
1,,07644,41944.96,LODI,PRODUCTS LLC,10/15/2013,TURBOCHARGER ASSEMBLY RIGHT HAND COMPLETE WITH TURBOCHARGER AND CARRIER HOUSING MTU4000 ENGINE,PO BOX 950,1000030460,NJ,9585,Commodities/Supplies,,0,9585,41944.96,OPEN,10/04/2013,11/03/2013,,,,0,Authority Contract - Competitive Bid,,,USA,No,41944.96,Yes,Foreign,STEWARTSTEVENSON POWER,No
10,,07644,7155.6,LODI,PO BOX 950,08/09/2013,TREADLE AIR BRAKE VALVE,,0600000000000000000SS1587,NJ,9586,Commodities/Supplies,,0,9586,7155.6,OPEN,11/21/2011,02/20/2014,,,No,33366,Authority Contract - Competitive Bid,,,USA,No,40521.6,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
4,,07644,9360.75,LODI,PO BOX 950,08/09/2013,DIAPHRAGM KIT WATER SOLENOID FOR VALVE 79-61-0088,,0600000000000000000SS4403,NJ,9587,Commodities/Supplies,,0,9587,9360.75,OPEN,01/24/2013,04/23/2014,,,No,29419.5,Authority Contract - Competitive Bid,,,USA,No,38780.25,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
10,,07644,0,LODI,PRODUCTS LLC,07/06/2012,88-25-0136 STARTER MOTOR ASSE,P.O. BOX 950,SPJ121236,NJ,9588,Commodities/Supplies,,0,9588,0,OPEN,07/06/2012,10/05/2014,,,No,37910,Authority Contract - Competitive Bid,,,USA,No,37910,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
2,,07644,3099,LODI,PRODUCTS LLC,09/27/2013,78-55-9020 CATALYST MODULE EX,P.O. BOX 950,SPJ131601A,NJ,9589,Commodities/Supplies,,0,9589,3099,OPEN,06/14/2013,09/13/2015,,,No,34089,Authority Contract - Competitive Bid,,,USA,No,37188,Yes,Foreign,STEWARTSTEVENSON POWER,No
2,,07644,9895.2,LODI,PO BOX 950,08/09/2013,ADAPTER FILTER HEAD ENGINE OIL USE WITH ESOC OIL EXCHANGE SYSTEM CUMMINS IBS ENGINE,,0600000000000000000SS2660,NJ,9590,Commodities/Supplies,,0,9590,9895.2,OPEN,04/13/2012,07/12/2014,,,No,25974.9,Authority Contract - Competitive Bid,,,USA,No,35870.1,Yes,Foreign,STEWARTSTEVENSON POWER,Yes
