number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
1,,12204,77908.02,ALBANY,1700 BROADWAY,03/13/2012,M of E NY Locations: Preventative Mtce Inspection AND Repair of Shop Equipment,,1000013761,NY,10159,Other,,0,10159,78914.01,COMPLETED,03/13/2012,03/13/2012,,,No,101085.99,Authority Contract - Competitive Bid,,,USA,No,180000,Yes,NYS,SIMMONS MACHINE TOOL CORPORATION,Yes
1,,12204,6397.59,ALBANY,1700 NORTH BROADWAY,06/02/2008,C4BP03210 INSPECTIONS.,,,NY,10160,Other Professional Services,,0,10160,11098.62,OPEN,09/18/2009,01/31/2012,,,No,158901.38,Authority Contract - Non-Competitive Bid,,,USA,No,170000,Yes,NYS,SIMMONS MACHINE TOOL CORPORATION,No
,,12204,41229.95,ALBANY,1700 North Broadway,06/21/2006,C000020343 EMERGENCY AND PREVENTIVE MAINTENANCE AND REPAIR OF WHEEL TRUE MACHINES - HARMON AND NEW HAVEN,,,NY,10161,Other,,,10161,111059.78,COMPLETED,06/21/2006,06/30/2011,,,,0,Authority Contract - Non-Competitive Bid,,,USA,No,111059.78,Yes,NYS,SIMMONS MACHINE TOOL CORPORATION,No
1,,12204,0,ALBANY,1700 NORTH BROADWAY,08/07/2012,Installation of Brake Disc Facing on Simmons Wheel Truer,,4000023591,NY,10162,Other Professional Services,,0,10162,0,OPEN,08/07/2012,09/18/2012,,23179,Yes,23179,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,23179,Yes,NYS,SIMMONS MACHINE TOOL CORPORATION,No
46,,10010,5200,NEW YORK,225 EAST 21ST STREET #2,07/01/2009,ARTWORK FOR BEACH 60TH STREET STATION,,09080-0100,NY,10163,Design and Construction/Maintenance,,0,10163,113000,OPEN,06/23/2009,06/30/2012,,,No,2000,Authority Contract - Competitive Bid,,,USA,No,115000,Yes,NYS,SIMON LEVENSON,No
,,10018,95196.59,NEW YORK,519 EIGHTH AVENUE,,"Fire Suppression System Inspection, Testing and Certification",,1000016958,NY,10164,Other,,,10164,,COMPLETED,,,,,,,Purchased Under State Contract,,,USA,No,,,,SIMPLEX GRINNELL,
,,10018,112675,NEW YORK,519 8th Avenue,,C000069367 TESTING AND INSPECTION OF MNR SPRINKLER AND FIRE SUPRESSION SYSTEMS,,,NY,10165,Other,,,10165,,COMPLETED,,,,,,,Purchased Under State Contract,,,USA,No,,,,SIMPLEX GRINNELL,
,,10018,82537.49,NEW YORK,519 8th Avenue,,C000078854 Fire Alarm Monitoring,,,NY,10166,Other,,,10166,,COMPLETED,,,,,,,Purchased Under State Contract,,,USA,No,,,,SIMPLEX GRINNELL,
2,,10018,155833.33,NEW YORK,519 EIGHTH AVE,02/05/2009,C4BP03382 Fire Alarm System maintenance upgrade.,,,NY,10167,Other Professional Services,,0,10167,550261.48,OPEN,10/25/2010,06/30/2013,,1385664.83,Yes,835403.35,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,1385664.83,Yes,Foreign,SIMPLEX GRINNELL,No
5,,10018,0,NEW YORK,519 EIGHTH AVE,11/30/2012,Sprinkler System and Ancillary Devices - Inspection and maintenance at various Subways facilities,,0600000000000000000004036,NY,10168,Consulting Services,,0,10168,0,OPEN,11/30/2012,11/29/2017,,,No,442223.6,Authority Contract - Competitive Bid,,,USA,No,442223.6,Yes,NYS,SIMPLEX GRINNELL,Yes
7,,10018,72366.01,NEW YORK,519 EIGHTH AVE,05/12/2008,C605H9263-A2354 INERGEN FIRE SUPPRESSION MAINT. & REPAIR SUBWAYS,,,NY,10169,Other Professional Services,,0,10169,100016.54,OPEN,05/09/2008,05/10/2013,,,No,236751.74,Authority Contract - Competitive Bid,,,USA,No,336768.28,Yes,NYS,SIMPLEX GRINNELL,No
1,,10018,0,NEW YORK,519 EIGHTH AVE,01/01/2013,"FIRE SUPPRESSION SYSTEM INSPECTION, TESTING AND CERTIFICATION",,12257-0100,NY,10170,Design and Construction/Maintenance,,0,10170,0,OPEN,09/01/2012,08/26/2015,,,Yes,65000,Authority Contract - Competitive Bid,,Inter-agency Agreement,USA,No,65000,Yes,NYS,SIMPLEX GRINNELL,No
7,,10018,9916.64,NEW YORK,519 EIGHTH AVE,05/12/2008,C605H9263-A2603 INERGEN FIRE SUPPRESSION MAINT. & REPAIR SUBWAYS,,,NY,10171,Other,,0,10171,12761,OPEN,05/09/2008,05/10/2013,,,No,26717.25,Authority Contract - Competitive Bid,,,USA,No,39478.25,Yes,NYS,SIMPLEX GRINNELL,No
,,10018,13674.02,NEW YORK,519 EIGHTH AVE,06/09/2008,C607A9627 SPRINKER SYSTEM FOAM WATER P REV. MAINT. AT CONEY ISLAND,,,NY,10172,Consulting Services,,0,10172,14474.02,OPEN,06/06/2008,08/08/2010,,,No,21585.98,Authority Contract - Competitive Bid,,,USA,No,36060,Yes,NYS,SIMPLEX GRINNELL,Yes
1,,10018,10500.67,NEW YORK,519 EIGHTH AVE,10/18/2010,C000951120 SERVICE THE CONTRACTOR SHALL PROVIDE ONSITE MAINTENANCE AND REPAIR SERVICES SYSTEM-WIDE FOR FORA,,,NY,10173,Other Professional Services,,0,10173,16380.03,OPEN,10/18/2010,10/19/2012,,,No,4128.37,Authority Contract - Competitive Bid,,,USA,No,20508.4,Yes,NYS,SIMPLEX GRINNELL,Yes
3,,01441,195078.71,WESTMINSTER,50 TECHNOLOGY DRIVE,12/01/2006,C306-MNT-2763Y Hydrostatic test and repair of standpipe and sprinkler systems at all facilities,,,MA,10174,Other,,0,10174,598243.65,OPEN,12/01/2006,05/31/2013,,,No,146664.64,Authority Contract - Competitive Bid,,,USA,No,744908.29,Yes,NYS,SIMPLEXGRINNELL LP,No
2,,02453,0,WALTHAM,297 BROADWAY,09/27/2012,Metallurgical and Structural Testing,,1000017593,MA,10175,Other,,0,10175,0,OPEN,09/27/2012,09/30/2013,,,No,25000,Authority Contract - Competitive Bid,,,USA,No,25000,Yes,Foreign,"SIMPSON GUNPERTZ AND HEGER, INC.",Yes
2,,07305,411180,JERSEY CITY,ONE LINDEN AVENUE EAST,05/14/2012,Removal and Disposal of Obsolete NYC Transit Subway Cars per Contract No. 2010-001-C NYC Transit Award,,0600000000000000000002869,NJ,10176,Other,,0,10176,411180,OPEN,05/14/2012,,,,No,3291891.75,Authority Contract - Competitive Bid,,,USA,No,3703071.75,No,Foreign,"SIMSMETAL EAST, LLC",No
2,,10001,0,NEW YORK,118 WEST 27TH STREET,10/24/2012,Foray Fire Suppression,3RD FLOOR,0600000000000000000003873,NY,10177,Consulting Services,,1,10177,0,OPEN,10/24/2012,10/23/2015,,,Yes,25000,Authority Contract - Competitive Bid,,Cntrct Below Threshold,USA,No,25000,Yes,NYS,SIRINA FIRE PROTECTION CORP.,Yes
2,,10577,31250.32,PURCHASE,ONE MANHATTANVILLE ROAD,07/12/2011,Funding of Sirota Consultant - Employee Engagement Survey,,1000006218,NY,10178,Consulting Services,,0,10178,44750.32,COMPLETED,07/12/2011,08/18/2011,,,No,8749.68,Authority Contract - Competitive Bid,,,USA,No,53500,Yes,NYS,SIROTA CONSULTING,Yes
,,08844,5325,HILLSBOROUGH,"PERADUR INDUSTRIES INC, DBA",,Miscellaneous Parts and tools.,SISSCO,,NJ,10179,Commodities/Supplies,,,10179,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,SISSCO / PERMADUR INDUSTRIES,
3,,08844,0,HILLSBOROUGH,"PERADUR INDUSTRIES INC, DBA",05/30/2012,Service-Whiting Equipmnt,SISSCO,0400000000000000000000480,NJ,10180,Commodities/Supplies,,0,10180,0,OPEN,05/29/2012,05/29/2015,,,No,319800,Authority Contract - Competitive Bid,,,USA,No,319800,Yes,Foreign,SISSCO / PERMADUR INDUSTRIES,No
3,,08844,10800,HILLSBOROUGH,"PERADUR INDUSTRIES INC, DBA",05/29/2012,Parts-Whiting Equipment,SISSCO,0400000000000000000000479,NJ,10181,Commodities/Supplies,,0,10181,10800,OPEN,05/29/2012,05/28/2015,,,No,279546,Authority Contract - Competitive Bid,,,USA,No,290346,Yes,Foreign,SISSCO / PERMADUR INDUSTRIES,No
1,,08844,3876,HILLSBOROUGH,"PERADUR INDUSTRIES INC, DBA",07/19/2011,INSPECTION OF VARIOUS CRANES BELOW- THE-HOOK LIFTING DEVICES JACKS AND DROP TABLES,SISSCO,0600000000000000000000849,NJ,10182,Other Professional Services,,0,10182,3876,OPEN,07/19/2011,07/18/2014,,,No,212379,Authority Contract - Competitive Bid,,,USA,No,216255,Yes,Foreign,SISSCO / PERMADUR INDUSTRIES,Yes
1,,08844,0,HILLSBOROUGH,186 ROUTE 206 SOUTH,04/30/2012,"INSPECTION, MAINTENANCE AND REPAIR OF PORTABLE FLOOR JACKS MOE HARMON",,1000015235,NJ,10183,Other,,0,10183,0,COMPLETED,04/30/2012,04/30/2012,,,No,90000,Authority Contract - Competitive Bid,,,USA,Yes,90000,Yes,Foreign,SISSCO / PERMADUR INDUSTRIES,Yes
31,,11793,0,WANTAGH,"D/B/A INVESTIGATORS, INC.",01/01/2009,Investigative services,3280 SUNRISE HIGHWAY SUITE 183,08210-2400,NY,10184,Other Professional Services,,4,10184,0,OPEN,11/20/2008,12/31/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,0,Yes,Foreign,"SJL INVESTIGATORS, INC.",Yes
,,10962,16852.2,ORANGEBURG,"40 RAMLAND ROAD, SUITE 210",,APC UPS Maintenance for One Year - HQ,,12228-0100,NY,10185,Technology - Consulting/Development or Sup,,,10185,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,"SKAE POWER SOLUTIONS, LLC.",
2,,11357,7133487.95,WHITESTONE,16-16 WHITESTONE EXPRESSWAY,09/15/2009,6017-A Life Cycle Maintenance Shop Improvements,,,NY,10186,Design and Construction/Maintenance,,0,10186,22011275.83,OPEN,09/15/2009,04/24/2012,,,No,20016612.36,Authority Contract - Competitive Bid,,,USA,No,42027888.19,Yes,NYS,SKANSKA   USA CIVIL NORTHEAST INC.,No
,,10017,0,NEW YORK,220 EAST 42ND STREET,08/19/1993,A86902 ENGINEERING DESIGN SERVICES,,,NY,10187,Design and Construction/Maintenance,,0,10187,944326.46,OPEN,08/19/1993,,,,No,49752.54,Authority Contract - Competitive Bid,,,USA,No,994079,No,NYS,"SKIDMORE, OWINGS & MERRILL, LLP",No
,,10017,0,NEW YORK,220 EAST 42ND STREET,08/25/1994,A86902-S1 14TH ST.& 8TH AVENUE/ADDITIONAL DESIGN,,,NY,10188,Design and Construction/Maintenance,,0,10188,190901.22,OPEN,08/25/1994,,,,No,12533.78,Authority Contract - Competitive Bid,,,USA,No,203435,No,NYS,"SKIDMORE, OWINGS & MERRILL, LLP",No
4,,10018,140668,NEW YORK,242 WEST 36TH STREET,12/01/2009,SOFTWARE SYSTEM FOR OCR,5TH FLOOR,07167-0100,NY,10189,Technology - Software,,1,10189,582917.5,OPEN,02/12/2010,11/30/2014,,,No,188750.04,Authority Contract - Competitive Bid,,,USA,Yes,771667.54,Yes,Foreign,"SKYLINE CONNECTIONS, INC.",Yes
41,,11101,2025278.31,LONG ISLAND CITY,52-29 35TH STREET,11/14/2010,C610E0281E VOUCHER-BASED TRANSP.SVC.PROG.AAR - SKYLINE CREDIT RIDE,,,NY,10190,Other Professional Services,,6,10190,3041402.03,OPEN,11/10/2010,11/13/2013,,,No,6656502.57,Authority Contract - Competitive Bid,,,USA,No,9697904.6,Yes,NYS,SKYLINE CREDIT RIDE INC,Yes
11,,07748,26195,MIDDLETOWN,1715 HIGHWAY 35,10/03/2011,W6 x 12 x 6FT HR steel beam Galv.,SUITE 209,4000010558,NJ,10191,Commodities/Supplies,,1,10191,26195,COMPLETED,10/03/2011,12/06/2011,,,,0,Authority Contract - Competitive Bid,,,USA,No,26195,Yes,Foreign,"SKYLINE STEEL, LLC",Yes
3,,80216,6000,DENVER,4321 BROADWAY STREET,05/21/2012,MODULE REFURBISHED PARTNER ACS 509 PROCESSOR 8.0,D/B/A THE OFFICE PHONE,0600000000000000000002911,CO,10192,Commodities/Supplies,,1,10192,6000,OPEN,05/21/2012,08/20/2013,,,No,18000,Authority Contract - Competitive Bid,,,USA,No,24000,Yes,Foreign,SKYWORKS INC,Yes
3,,80216,7695,DENVER,4321 BROADWAY STREET,05/21/2012,TELEPHONE REFURBISHED PARTNER 18D 8 BUTTON WITH DISPLAY,D/B/A THE OFFICE PHONE,0600000000000000000002912,CO,10193,Commodities/Supplies,,1,10193,7695,OPEN,05/21/2012,08/20/2013,,,No,7785,Authority Contract - Competitive Bid,,,USA,No,15480,Yes,Foreign,SKYWORKS INC,Yes
4,,07092,137625.83,MOUNTAINSIDE,1101 BRISTOL ROAD,11/01/2010,ELEVATOR MAINTENANCE & REPAIR,,10202-0100,NJ,10194,Design and Construction/Maintenance,,0,10194,254274.83,OPEN,11/01/2010,10/31/2013,,,No,223091.17,Authority Contract - Competitive Bid,,,USA,No,477366,Yes,NYS,"SLADE INDUSTRIES, INC.",No
4,,07092,4250,MOUNTAINSIDE,1101 BRISTOL ROAD,12/03/2010,ELEVATOR MAINT. & REPAIR MTAPD,,10202-0200,NJ,10195,Design and Construction/Maintenance,,0,10195,4250,OPEN,01/13/2011,10/31/2013,,,No,11050,Authority Contract - Competitive Bid,,,USA,No,15300,Yes,NYS,"SLADE INDUSTRIES, INC.",No
1,,LL113BQ,18336.96,WREXHAM,23 PENDINAS,08/15/2011,TECHNICAL ASSISTANCE WITH BUSINESS PROCESS IMPROVEMENTS,,0600000000000000000001641,,10196,Other Professional Services,,1,10196,18336.96,OPEN,08/15/2011,01/31/2012,CLWYD,20000,Yes,1663.04,Authority Contract - Non-Competitive Bid,,Cntrct Below Threshold,Other,No,20000,Yes,Foreign,SMART ASSET MANAGE. SOLUTIONS LTD,Yes
1,,02478,52500,BELMONT,FOUR HILL ROAD,11/22/2010,C000072997 MATERIAL FORECAST SYSTEM SOFTWARE WITH 3 YEAR SUPPORT,,,MA,10197,Other,11/23/2012,0,10197,239936.27,OPEN,11/22/2010,11/23/2013,,,No,7313.73,Authority Contract - Competitive Bid,,,USA,No,247250,Yes,Foreign,"SMART SOFTWARE, INC.",Yes
1,,02478,45000,BELMONT,FOUR HILL ROAD,03/30/2012,SmartForecasts Use License/ annual Maintenance and support,,1000014379,MA,10198,Technology - Software,,0,10198,45000,COMPLETED,03/30/2012,03/30/2012,,,No,0,Authority Contract - Competitive Bid,4349,,USA,No,45000,Yes,Foreign,"SMART SOFTWARE, INC.",Yes
4,,10005,61850,NEW YORK,"140 BROADWAY, 46TH FLOOR",05/11/2012,Annual Maintenance for Zantaz Software coverage for - 1 EAS Parent Server 1 EAS Child Server 10000 EAS Complete Standard Support,,0600000000000000000002864,NY,10199,Technology - Software,,1,10199,61850,OPEN,05/11/2012,,,,No,556650,Authority Contract - Competitive Bid,,,USA,No,618500,No,Foreign,"SMART TEAM, LLC",Yes
2,,10005,0,NEW YORK,"140 BROADWAY, 46TH FLOOR",05/24/2011,WORKGROUP MAINTENANCE & SUPPORT FOR TELEFORM VERSION 10.X,,0600000000000000000000547,NY,10200,Technology - Consulting/Development or Sup,,0,10200,21599,OPEN,05/24/2011,05/14/2014,,,Yes,1,Authority Contract - Competitive Bid,,Cntrct Below Threshold,USA,No,21600,Yes,NYS,"SMART TEAM, LLC",Yes
,,10007,0,NEW YORK,"291 BROADWAY,16TH FLOOR",01/02/2008,OUTSIDE COUNSEL,,,NY,10201,Legal Services,,,10201,72196,OPEN,01/02/2008,,,,,0,Authority Contract - Non-Competitive Bid,,,USA,No,0,No,,SMITH AND LAQUERCIA,No
,,10038,169196.32,NEW YORK,111 JOHN STREET,01/02/2008,OUTSIDE COUNSELING,,,NY,10202,Legal Services,,,10202,2933892.32,OPEN,01/02/2008,,,,,0,Authority Contract - Non-Competitive Bid,,,USA,No,169196.32,No,,"SMITH, MAZURE, DIRECTOR",No
,,19178,0,PHILADELPHIA,P.O. BOX 8500-3770,,Security Equipment,,11073-0100,PA,10203,Commodities/Supplies,,,10203,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,Foreign,SMITHS DETECTION INC.,
,,19178,0,PHILADELPHIA,P.O. BOX 8500-3770,,Training/Consumables,,12083-0100,PA,10204,Other,,,10204,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,Foreign,SMITHS DETECTION INC.,
,,19178,0,PHILADELPHIA,P.O. BOX 8500-3770,,SECURITY RELATED EQUIPMENT MAINTENANCE SERVICE,,10279-0100,PA,10205,Other,,,10205,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,Foreign,SMITHS DETECTION INC.,
,,11704,4519.4,WEST BABYLON,275 EDISON AVENUE,,Miscellaneous Parts and tools.,,,NY,10206,Commodities/Supplies,,,10206,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,SNAP-ON INDUSTRIAL,
2,,11704,7641.48,WEST BABYLON,275 EDISON AVENUE,12/20/2011,CARTRIDGE PRO-LINK CATERPILLAR ELECTRONIC ENGINE SYSTEMS WITH ACERT TECHNOLOGY,,0600000000000000000001743,NY,10207,Commodities/Supplies,,0,10207,7641.48,OPEN,12/20/2011,03/19/2014,,,No,40986.12,Authority Contract - Competitive Bid,,,USA,No,48627.6,Yes,NYS,SNAP-ON INDUSTRIAL,Yes
2,,11704,0,WEST BABYLON,275 EDISON AVENUE,04/13/2012,"J111131 88-75-0535   CARTRIDGE, PRO-LIN",,,NY,10208,Commodities/Supplies,,0,10208,0,OPEN,01/13/2012,04/12/2014,,,No,17367,Authority Contract - Competitive Bid,,,USA,No,17367,Yes,NYS,SNAP-ON INDUSTRIAL,Yes
,,11704,15854.21,WEST BABYLON,275 EDISON AVENUE,,various various small purchases,,,NY,10209,Commodities/Supplies,,,10209,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,SNAP-ON INDUSTRIAL,
1,,06851,3777.5,NORWALK,3 BLAKE ST.,06/30/2011,CONTRACT SERVICE REPAIR OF SNAP-ON TOOLS THROUGHOUT VARIOUS DOB MTA & LIB LOCATIONS.,,0600000000000000000000767,CT,10210,Other Professional Services,,0,10210,14341.45,OPEN,06/30/2011,06/29/2012,,24000,Yes,9658.55,Authority Contract - Non-Competitive Bid,,Cntrct Below Threshold,USA,No,24000,Yes,Foreign,SNAP-ON TOOLS CO.,No
,,06851,99752.73,NORWALK,3 BLAKE ST.,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,,,CT,10211,Commodities/Supplies,,,10211,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,SNAP-ON TOOLS CO.,
6,,11937,8252,EAST HAMPTON,106 SYCAMORE DRIVE,03/13/2012,MAT OIL ABSORBENT POLYPROPYLENE & POLYESTER; TO HAVE NON-POROUS BACKING; TO COME IN 36 X 100 LONG ROLLS; MINIMUM ROLL THICKNESS TO BE .07; TO HA,,0600000000000000000002351,NY,10212,Commodities/Supplies,,6,10212,8252,OPEN,03/13/2012,03/13/2014,,,Yes,27850.5,Authority Contract - Competitive Bid,,Discretionary Procurement,USA,Yes,36102.5,Yes,NYS,"SNAPPY SOLUTIONS, INC",Yes
12,,10601,20499.32,WHITE PLAINS,214 MAMARONECK AVENUE,11/01/2012,SNOW REMOVAL - MNR YANKEE STADIUM TRAIN STATION,,1000018756,NY,10213,Other,,0,10213,20499.32,OPEN,11/01/2012,10/31/2016,,,No,471484.36,Authority Contract - Competitive Bid,,,USA,No,491983.68,Yes,NYS,SNOW AWAY,Yes
7,,07601,67084,HACKENSACK,9-11 EAST BROADWAY,11/02/2010,"C000076398 SNOW REMOVAL SALTING/SANDING/HAND SHOVELING FOR STATIONS: GLENWOOD, GREYSTONE, FLEETWOOD, BRONXVILLE, MT. VERNON EAST AND PELHAM",,,NJ,10214,Other,,0,10214,184481,COMPLETED,11/02/2010,10/31/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,184481,Yes,Foreign,SNOW SOLUTION SERVICES,Yes
6,,06461,0,MILFORD,D/B/A SNOWFLAKE PET CENTER,11/01/2008,AS-NEEDED CANINE BOARDING SERVICES FOR MTAPD,1 ROWE AVE.,08045-0400,CT,10215,Other,06/22/2012,0,10215,8774.83,OPEN,11/01/2008,05/31/2012,,,No,8130.17,Authority Contract - Competitive Bid,,,USA,No,16905,Yes,NYS,"SNOWFLAKE BOARDING KENNELS, INC.",No
5,,06460,1316,MILFORD,D/B/A SNOWFLAKE PET CENTER,06/01/2012,As Needed Boarding Services,1 ROWE AVE.,11142-0400,CT,10216,Other,,0,10216,1316,OPEN,05/23/2012,05/31/2015,,,No,1684,Authority Contract - Competitive Bid,,,USA,No,3000,Yes,NYS,"SNOWFLAKE BOARDING KENNELS, INC.",No
,,08854,15925.11,PISCATAWAY,33 KNIGHTSBRIDGE ROAD,,GFI Network Security Scanner PCI Compliance Suite,,,NJ,10217,Technology - Software,,,10217,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,3925,,USA,No,,,,SOFTWARE HOUSE INTERNATIONAL,
,,19178,7519.99,PHILADELPHIA,P.O. BOX 8500-41155,,PowerBroker,,4000021993,PA,10218,Technology - Software,,,10218,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,SOFTWARE HOUSE INTERNATIONAL INC.,
,,19178,2360,PHILADELPHIA,P.O. BOX 8500-41155,,Tectica s/w support 3 yr,,0400000000000000000000092,PA,10219,Technology - Software,,,10219,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,SOFTWARE HOUSE INTERNATIONAL INC.,
,,19178,0,PHILADELPHIA,P.O. BOX 8500-41155,,Adobe ColdFusion Licenses - HQ,,12269-0100,PA,10220,Technology - Software,,,10220,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,SOFTWARE HOUSE INTERNATIONAL INC.,
,,19178,0,PHILADELPHIA,P.O. BOX 8500-41155,,NETWORK FAX SOLUTION - MERKUR DELIVERYWARE,,10103-0100,PA,10221,Technology - Software,,,10221,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,Foreign,SOFTWARE HOUSE INTERNATIONAL INC.,
,,19178,0,PHILADELPHIA,P.O. BOX 8500-41155,,BINDVIEW SOFTWARE & MAINTENANCE,,05218-0100,PA,10222,Technology - Software,,,10222,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,Foreign,SOFTWARE HOUSE INTERNATIONAL INC.,
,,19178,3243.1,PHILADELPHIA,P.O. BOX 8500-41155,,Opentext Exceed,,4000024964,PA,10223,Commodities/Supplies,,,10223,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,SOFTWARE HOUSE INTERNATIONAL INC.,
,,19178,1967.2,PHILADELPHIA,P.O. BOX 8500-41155,,Websense support,,0400000000000000000000349,PA,10224,Commodities/Supplies,,,10224,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,SOFTWARE HOUSE INTERNATIONAL INC.,
8,,19178,0,PHILADELPHIA,P.O. BOX 8500-41155,12/02/2010,C000956036 CONTRACT SERVICE MAINTENANCE FROM 7/1/10 TO 6/30/13 FOR MAZU SENSOR,,,PA,10225,Other Professional Services,,4,10225,169837.43,OPEN,12/02/2010,06/28/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,Yes,169837.43,Yes,Foreign,SOFTWARE HOUSE INTERNATIONAL INC.,Yes
3,,19178,70183.02,PHILADELPHIA,P.O. BOX 8500-41155,10/01/2012,Vault Storage Management,,4000025944,PA,10226,Commodities/Supplies,,0,10226,70183.02,OPEN,10/01/2012,10/01/2012,,,,18724,Authority Contract - Competitive Bid,,,USA,No,88907.02,Yes,Foreign,SOFTWARE HOUSE INTERNATIONAL INC.,No
1,,55432,12497,MINNEAPOLIS,DIVERSIFIED SERVICES,03/02/1989,SOFTWARE LICENSE,"1322 81ST AVENUE, N.E.",88457-0100,MN,10227,Technology - Software,01/20/2012,0,10227,156395.6,OPEN,03/02/1989,01/31/2013,,168412.6,Yes,12017,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,168412.6,Yes,Foreign,SOFTWARE-D,No
1,,10001,104000,NEW YORK,SUBSIDIARY OF SOLARI DI UDINE SPA,01/01/2012,Maintenance of Solari Signage,261 WEST 35TH STREET,0400000000000000000000383,NY,10228,Technology - Hardware,,0,10228,104000,OPEN,01/01/2012,12/31/2016,,3220000,Yes,3116000,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,3220000,Yes,NYS,SOLARI CORP.,No
1,,10001,312000,NEW YORK,SUBSIDIARY OF SOLARI DI UDINE SPA,07/18/2012,Monthly Prevent Maint.,261 WEST 35TH STREET,4000022764,NY,10229,Consulting Services,,0,10229,312000,OPEN,07/18/2012,07/18/2012,,2960000,,2648000,Authority Contract - Non-Competitive Bid,,,USA,No,2960000,Yes,Foreign,SOLARI CORP.,No
3,,10001,104820,NEW YORK,SUBSIDIARY OF SOLARI DI UDINE SPA,04/06/2010,C609K0205 PASSENGER INFORMATION DISPLAYSYSTEM,261 WEST 35TH STREET,,NY,10230,Technology - Hardware,,1,10230,894635,OPEN,04/06/2010,10/05/2015,,,No,0,Authority Contract - Competitive Bid,,,USA,No,894635,Yes,NYS,SOLARI CORP.,Yes
1,,10001,0,NEW YORK,SUBSIDIARY OF SOLARI DI UDINE SPA,05/25/2012,A37572; Purchase SAID signs,261 WEST 35TH STREET,0600000000000000000002939,NY,10231,Other,,0,10231,0,OPEN,05/25/2012,10/15/2013,,,No,68000,Authority Contract - Competitive Bid,,,USA,No,68000,Yes,NYS,SOLARI CORP.,No
1,,10001,52000,NEW YORK,SUBSIDIARY OF SOLARI DI UDINE SPA,07/11/2012,Solari Monthly Maintenance May 2012,261 WEST 35TH STREET,4000022480,NY,10232,Technology - Hardware,,0,10232,52000,OPEN,07/11/2012,07/11/2012,,,,0,Authority Contract - Competitive Bid,,,USA,No,52000,Yes,Foreign,SOLARI CORP.,No
0,,10001,52000,NEW YORK,SUBSIDIARY OF SOLARI DI UDINE SPA,05/07/2012,Solari Monthly Maintenance April 2012,261 WEST 35TH STREET,4000019600,NY,10233,Consulting Services,,0,10233,52000,OPEN,05/07/2012,05/09/2012,,52000,,0,Authority Contract - Non-Competitive Bid,,,USA,No,52000,Yes,Foreign,SOLARI CORP.,Yes
1,,10001,52000,NEW YORK,SUBSIDIARY OF SOLARI DI UDINE SPA,05/31/2012,Solari Monthly Maintenance Contract March 2012,261 WEST 35TH STREET,4000020825,NY,10234,Technology - Hardware,,0,10234,52000,OPEN,05/31/2012,05/31/2012,,52000,,0,Authority Contract - Non-Competitive Bid,,,USA,No,52000,Yes,Foreign,SOLARI CORP.,No
,,10001,92200,NEW YORK,261 WEST 35TH STREET,,Solari Outdoor Displays,,1000010999,NY,10235,Commodities/Supplies,,,10235,,COMPLETED,,,,,,,Purchased Under State Contract,,,USA,No,,,,SOLARI CORPORATION,
